name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
低温运算引擎,cryoarithmetic_engine,"hist3t, pather4",人之领管制科技,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","一台违背热力学第二定律的量子计算机。该计算机进行运算时非但不产生热量,反而还吸收热量。

需由热管和散热片组成的行星规模级吸热网络，来源源不断地向它供应热量，才能满足它进行巨量计算时所需的能源。行星表面越热，该运算引擎的效率也就越高。这种无与伦比的算力能够极大提高后勤与战略方面的规划能力。",170
战斗无人机复制器,drone_replicator,"hist3t, pather4",Ko 联合实业,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","能大量制造各种型号的作战无人机，非常适合抵抗劫掠和入侵，也对行星防御和安保有着极大的帮助。

因该无人机复制器早在}""大崩塌""}之前，就已被}人之领}所禁止了数十年之久。因此能在英仙座星区找一到台状态良好的复制器，可以说是非常令人吃惊的。",175
全息交易撮合套件,dealmaker_holosuite,"hist3t, pather4",姆巴耶-果戈尔,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"这款全息套组能生成一个交互式环境，用来模拟和潜在商业伙伴进行谈判时的场景。此外，这款高端{VR}设备内置了自适应型智能微感情传感器，可提供实时的表情分析数据，从而用一种从技术层面来讲还算道德的行为，为设施运营者带来商业方面的优势。

该套件内置的广告经常强调本设备并不是}AI，只是一种极其复杂的加权网络,}并且绝对没有违反任何}人之领}的相关规定。",180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# blueprints,,,,,,,,,,,,,,,
主宰纪元蓝图,low_tech_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,使重工业设施能够制造{主宰纪元}设计中的常规船体，武器以及战机{LPC。,200
核心纪元蓝图,midline_package,package_bp,,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,使重工业设施能够制造{核心纪元}设计中的常规船体，武器以及战机{LPC。,210
扩展纪元蓝图,high_tech_package,package_bp,,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,使重工业设施能够制造{扩展纪元}设计中的常规船体，武器以及战机{LPC。,220
导弹蓝图,missile_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,使重工业设施能制造出一系列的常规导弹武器。,230
海盗蓝图,pirate_package,package_bp,,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,一些出自修复后的破损蓝图，或由蓝图黑客非法改装后的劣质船体设计。使重工业设施能够制造出这些质量低劣但颇具威胁的船体，这些蓝图通常都被海盗与其他不法之徒使用着。,240
卢德左径蓝图,LP_package,package_bp,,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,使重工业设施能够制造出这些经蓝图黑客非法改装后的{卢德左径}船体。,250
卢德教会蓝图,LC_package,package_bp,,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,使重工业设施能够制造出这些涂装有{卢德教会}标志的蓝图。由于这些修改均已装饰性为主，所以船体生产与其他设计基本都保持原样。,260
第十四军团蓝图,XIV_package,"package_bp, no_drop",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,使重工业设施能够制造出一整套充满传奇色彩的第十四军团战舰。而关于这些蓝图是依旧存在以及隐藏何处仍是当前酒吧内的热议话题。,270
霸主军事配件蓝图,heg_aux_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"一整套将民用舰船升级至军用标准或仅涂装有{霸主}标志的蓝图。由于是在}""大崩塌""}不久后为了改善舰队性能而创造的，因此合理的设计规范才杜绝了因后期蓝图黑客非法改装而形成的{D}插件。",280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
基础舰船蓝图,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,使重工业设施能够制造出该蓝图所描述的船体。,300
基础武器蓝图,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,使重工业设施能够制造出该蓝图所描述的武器。,310
基础战机蓝图,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,使重工业设施能够制造出该蓝图所描述的战机。,320
,,,,,,,,,,,,,,,
基础工业蓝图,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,包含了构建行星工业设施或其他建筑所需的技术规范。,400
,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
"""双面神""装置",janus,mission_item,,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"这是}Elissa}Zal}基于}Scylla}Coureuse}等人发展的理论而创建的第一代星门重启装置。

当与超光速驱动器箱集成时，这个装置能将调谐为两个星门的独特共振特征的超波脉冲传输到星门环中。在需要大量的燃料才能产生的巨大能量被输入后，这两个星门之间的临时连接就被成功地建立起来了。舰船与舰队可以在这些星门组成的网络中自由穿梭。",0
